start	end	log(Pc/Po)
561	659	-12.1752448789
564	662	-10.7090388138
567	665	-11.4566925642
570	668	-9.65712695831
573	671	-8.7797368473
576	674	-7.26778718971
579	677	-10.9213387969
582	680	-8.96505581536
585	683	-9.69080060823
588	686	-9.38951935457
591	689	-9.00645270856
594	692	-9.11472117186
597	695	-9.57439870662
600	698	-9.78201717844
603	701	-6.79870815031
606	704	-6.5297383063
609	707	-6.2607684623
612	710	-4.89131953664
615	713	-3.93071606075
618	716	-4.85948158277
621	719	-3.83090346744
624	722	-3.03042090192
627	725	-2.12334634754
630	728	-0.00533606245869
633	731	-0.196417567989
636	734	-0.602374995242
639	737	-0.82189206022
642	740	-0.229500180277
645	743	-0.105917493258
648	746	-0.340776176272
651	749	-0.800453711039
654	752	-1.94841055456
657	755	-1.78272866933
660	758	-1.12952132249
663	761	-1.42889100077
672	770	-0.669873350864
675	773	-3.27936367929
678	776	-0.268094011205
696	794	-0.303417174023
699	797	-0.366182654707
702	800	-0.557530828356
705	803	-1.00390332508
708	806	-2.96018630667
711	809	-5.03365824782
714	812	-5.20180082906
717	815	-4.13023539104
720	818	-4.13023539104
723	821	-4.96246060957
726	824	-6.1531542141
729	827	-5.49994686726
732	830	-4.19256921974
735	833	-3.53375476915
738	836	-4.0612232325
741	839	-4.72003768309
744	842	-5.7372613315
747	845	-4.96800602926
750	848	-4.99550756649
753	851	-4.39065373211
756	854	-4.39065373211
759	857	-4.67139876491
762	860	-6.43766867866
765	863	-6.97233196601
768	866	-7.61448002682
771	869	-7.94622406359
774	872	-5.63069745612
777	875	-5.17108144281
780	878	-6.47845909033
783	881	-6.47845909033
786	884	-5.24952625332
789	887	-5.24111067363
792	890	-5.11633209351
795	893	-2.763249008
798	896	-3.9316881521
801	899	-3.47201061734
804	902	-3.31021267663
807	905	-1.75875389128
819	917	-0.423035146164
822	920	-1.13304625816
825	923	-1.39253021716
828	926	-1.04927802653
831	929	-1.04927802653
834	932	-3.04582562737
837	935	-3.18284359011
840	938	-1.88748818246
843	941	-1.0287458717
846	944	-1.3720609854
849	947	-1.91222892442
852	950	-1.07484760245
855	953	-1.07484760245
858	956	-1.44730991648
861	959	-0.610603161473
864	962	-0.449758573824
867	965	-1.6451674385
870	968	-1.01697008497
873	971	-1.06651687749
876	974	-0.173998056453
879	977	-0.549372828115
882	980	-2.81535264306
885	983	-4.34150419494
888	986	-4.21751074643
891	989	-4.59132944613
894	992	-5.23347750694
897	995	-4.20445875826
900	998	-5.19853291226
903	1001	-8.07514720428
906	1004	-6.46810735365
909	1007	-7.41795180424
912	1010	-8.1065588316
915	1013	-7.74731520573
918	1016	-9.94393182128
921	1019	-9.35714704508
924	1022	-10.0578299006
927	1025	-10.1954059728
930	1028	-11.3703745921
933	1031	-9.13270724396
936	1034	-9.07307644284
939	1037	-9.1662161961
942	1040	-8.2730747416
945	1043	-8.20415825408
948	1046	-9.14889598753
951	1049	-9.36832496451
954	1052	-9.22963498774
957	1055	-10.567368138
960	1058	-10.0526880326
963	1061	-10.0526880326
966	1064	-9.09252121813
969	1067	-9.72071857166
972	1070	-11.5619726143
975	1073	-13.5423048021
978	1076	-13.0345210023
981	1079	-10.516958774
984	1082	-8.99080722209
987	1085	-8.1291420963
990	1088	-8.47265260979
993	1091	-8.09883391009
996	1094	-8.41902952797
999	1097	-7.51809512724
1002	1100	-3.99766265332
1005	1103	-4.70751554852
1008	1106	-4.66474565232
1011	1109	-4.150985296
1014	1112	-3.93014813602
1017	1115	-1.78423865011
1020	1118	-1.31831862273
1041	1139	-0.0815525863104
1044	1142	-0.750686986329
1047	1145	-1.41169079977
1050	1148	-2.63449697914
1053	1151	-3.30065541926
1056	1154	-2.07077742231
1059	1157	-2.48160366041
1062	1160	-2.96453456932
1065	1163	-2.89013710678
1068	1166	-1.253137108
1071	1169	-1.83959018384
1074	1172	-0.891197212429
1077	1175	-2.66262064455
1080	1178	-2.02168423686
1083	1181	-2.54060596188
1086	1184	-4.28233386626
1089	1187	-4.09966794042
1092	1190	-5.29785933006
1095	1193	-5.82466948691
1098	1196	-6.4656058946
1101	1199	-6.24374684445
1104	1202	-5.39314798674
1107	1205	-5.81541014757
1110	1208	-5.81541014757
1113	1211	-5.19327527903
1116	1214	-5.50908885549
1119	1217	-7.68594390757
1122	1220	-10.6396320655
1125	1223	-11.826454088
1128	1226	-12.2867670116
1131	1229	-13.2731931818
1134	1232	-13.5566426831
1137	1235	-14.9877652525
1140	1238	-13.7385566478
1143	1241	-13.0694222477
1146	1244	-11.4523669115
1149	1247	-10.304410068
1152	1250	-10.3814825439
1155	1253	-9.94286408698
1158	1256	-9.21320632705
1161	1259	-9.49133791829
1164	1262	-10.0577941955
1167	1265	-10.7464012228
1170	1268	-8.85918708199
1173	1271	-8.46818427321
1176	1274	-6.01132374874
1179	1277	-9.33154968821
1182	1280	-9.93770693292
1185	1283	-9.58511261769
1188	1286	-9.30104169423
1191	1289	-8.23673489662
1194	1292	-7.38972912188
1197	1295	-7.05786691409
1200	1298	-8.69669726796
1203	1301	-10.2704550291
1206	1304	-9.89096276446
1209	1307	-10.013720312
1212	1310	-10.7235732072
1215	1313	-10.9146547127
1218	1316	-9.17289024063
1221	1319	-7.82516413992
1224	1322	-9.49687256548
1227	1325	-9.7964433902
1230	1328	-7.7767524365
1233	1331	-7.71928885488
1236	1334	-6.52978324049
1239	1337	-7.69710024424
1242	1340	-7.26191995348
1245	1343	-7.3827608018
1248	1346	-7.30791146595
1251	1349	-6.73110338127
1254	1352	-7.23303202801
1257	1355	-7.23982477136
1260	1358	-6.83068836439
1263	1361	-6.85037302788
1266	1364	-6.36183501522
1269	1367	-5.82134203764
1272	1370	-5.52373781905
1275	1373	-5.34750978562
1278	1376	-2.66822025383
1281	1379	-2.06206300912
1284	1382	-1.26670048083
1287	1385	-3.38086731373
1290	1388	-4.20758619759
1293	1391	-3.69382584128
1296	1394	-3.75128942289
1299	1397	-2.11245906902
1302	1400	-1.97544110628
1305	1403	-2.14189279768
1308	1406	-5.86436089243
1311	1409	-7.41445132948
1314	1412	-6.59660520892
1317	1415	-10.4418308512
1320	1418	-9.36184983349
1323	1421	-6.37854080536
1326	1424	-6.24542167204
1329	1427	-7.2576199853
1332	1430	-7.37432775717
1335	1433	-7.53481462288
1338	1436	-7.71963245347
1341	1439	-8.14371173231
1344	1442	-7.40905161546
1347	1445	-9.04422760886
1350	1448	-9.5439632176
1353	1451	-9.33789922386
1356	1454	-9.73867791917
1359	1457	-10.1337373543
1362	1460	-10.1898783528
1365	1463	-10.7822702327
1368	1466	-10.3903827193
1371	1469	-10.3561247301
1374	1472	-11.6165814871
1377	1475	-11.4014270512
1380	1478	-11.1508346873
1383	1481	-12.7111613448
1386	1484	-10.1712125402
1389	1487	-9.74527235163
1392	1490	-9.72772479907
1395	1493	-10.393126234
1398	1496	-11.4206014068
1401	1499	-10.6736158785
