Sequence	Length(log10)	GC	Expression	1_x	2_x	3_x	4_x	5_x	1_y	2_y	3_y	4_y	5_y	1	2	3	4	5
RPL42B	2.87737134587	0.37	1.6	1	1	0	1	0	0.498673740053	0.522546419098	0.0	0.783819628647	0.0	-6.07935499859	-6.52432881168	0.0	-9.02227639471	0.0
RPL43A	2.69196510277	0.36	1.45	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL43B	3.06295783408	0.363	1.59	0	2	0	0	0	0.0	0.743079584775	0.0	0.0	0.0	0.0	-5.44410838985	0.0	0.0	0.0
RPL4A	2.32837960344	0.272	2.55	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL4B	3.07700432679	0.327	0.76	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL5	2.70070371715	0.331	1.95	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL6B	2.98091193778	0.402	1.35	0	1	0	0	0	0.0	0.525600835946	0.0	0.0	0.0	0.0	-5.51427857352	0.0	0.0	0.0
RPL7A	2.96614173274	0.343	1.8	0	1	0	0	0	0.0	0.726486486486	0.0	0.0	0.0	0.0	-5.88605664769	0.0	0.0	0.0
RPL7B	2.59106460703	0.364	2.89	1	0	0	0	0	0.438461538462	0.0	0.0	0.0	0.0	-5.90308998699	0.0	0.0	0.0	0.0
RPL8A	2.54406804435	0.271	3.32	0	1	0	0	0	0.0	0.32	0.0	0.0	0.0	0.0	-6.02319166266	0.0	0.0	0.0
RPL8B	3.0788191831	0.387	1.48	1	0	0	0	0	0.763135946622	0.0	0.0	0.0	0.0	-5.48017200622	0.0	0.0	0.0	0.0
RPP0	2.89209460269	0.333	2.58	1	0	0	0	0	0.662820512821	0.0	0.0	0.0	0.0	-6.07935499859	0.0	0.0	0.0	0.0
RPP1A	2.7075701761	0.324	1.25	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPP1B	2.67486114074	0.353	1.76	1	1	0	0	0	0.469344608879	0.420718816068	0.0	0.0	0.0	-6.58838029404	-5.68824613894	0.0	0.0	0.0
RPP2A	2.85672889038	0.417	1.58	0	1	0	0	0	0.0	0.517385257302	0.0	0.0	0.0	0.0	-4.8894102897	0.0	0.0	0.0
RPS0B	2.90579588037	0.363	1.13	1	0	0	0	0	0.473291925466	0.0	0.0	0.0	0.0	-6.58838029404	0.0	0.0	0.0	0.0
RPS10A	2.69372694892	0.435	1.37	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS11A	2.77158748088	0.389	1.32	0	1	0	0	0	0.0	0.353637901861	0.0	0.0	0.0	0.0	-5.00086945871	0.0	0.0	0.0
RPS11B	2.67209785794	0.362	1.19	0	1	0	0	0	0.0	0.353191489362	0.0	0.0	0.0	0.0	-5.41228903498	0.0	0.0	0.0
RPS12	2.7242758696	0.328	1.37	1	0	0	0	0	0.447169811321	0.0	0.0	0.0	0.0	-6.22988470521	0.0	0.0	0.0	0.0
RPS13	2.53275437899	0.299	2.34	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS14A	3.06069784035	0.37	1.45	1	0	0	0	0	0.771304347826	0.0	0.0	0.0	0.0	-5.48017200622	0.0	0.0	0.0	0.0
RPS14B	2.57054293988	0.333	3.09	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS16A	2.85491302231	0.406	1.58	1	1	0	0	0	0.54748603352	0.571229050279	0.0	0.0	0.0	-5.43179827593	-6.52432881168	0.0	0.0	0.0
RPS16B	2.80208925788	0.379	1.52	0	1	0	0	0	0.0	0.429022082019	0.0	0.0	0.0	0.0	-6.52432881168	0.0	0.0	0.0
RPS18A	3.00475115559	0.376	1.33	1	1	0	0	0	0.677546983185	0.693372898121	0.0	0.0	0.0	-6.58838029404	-6.29843201494	0.0	0.0	0.0
RPS18B	2.7551122664	0.385	1.48	2	0	0	0	0	0.322495606327	0.0	0.0	0.0	0.0	-5.79043534613	0.0	0.0	0.0	0.0
RPS19A	2.72181061521	0.34	1.12	1	0	0	0	0	0.481973434535	0.0	0.0	0.0	0.0	-6.58838029404	0.0	0.0	0.0	0.0
RPS1A	2.60852603358	0.365	1.55	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS1B	2.78175537465	0.385	1.26	1	0	0	0	0	0.343801652893	0.0	0.0	0.0	0.0	-5.67778070527	0.0	0.0	0.0	0.0
RPS2	2.95375969173	0.367	1.31	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS20	2.79448804666	0.35	2.09	1	0	0	0	0	0.61316211878	0.0	0.0	0.0	0.0	-5.01367622295	0.0	0.0	0.0	0.0
RPS21A	2.46089784276	0.287	1.01	1	0	0	0	0	0.22491349481	0.0	0.0	0.0	0.0	-5.90308998699	0.0	0.0	0.0	0.0
RPS21B	2.95279244304	0.378	1.68	2	0	0	0	0	0.627090301003	0.0	0.0	0.0	0.0	-6.01422292328	0.0	0.0	0.0	0.0
RPS23A	2.69372694892	0.415	1.45	0	2	0	0	0	0.0	0.237854251012	0.0	0.0	0.0	0.0	-5.37778597703	0.0	0.0	0.0
RPS23B	2.66745295289	0.391	1.7	1	1	0	0	0	0.296774193548	0.337634408602	0.0	0.0	0.0	-6.07935499859	-6.52432881168	0.0	0.0	0.0
RPS24A	2.85913829729	0.354	1.64	0	1	0	0	0	0.0	0.535269709544	0.0	0.0	0.0	0.0	-5.88605664769	0.0	0.0	0.0
RPS24B	2.83695673706	0.397	0.97	1	0	0	0	0	0.299854439592	0.0	0.0	0.0	0.0	-5.48017200622	0.0	0.0	0.0	0.0
RPS27A	2.63548374681	0.343	1.16	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS27B	2.74350976473	0.383	1.5	0	1	0	0	0	0.0	0.238267148014	0.0	0.0	0.0	0.0	-5.51427857352	0.0	0.0	0.0
RPS28B	2.46834733041	0.32	1.45	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS3	3.07188200731	0.378	2.28	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS4A	3.04099769242	0.429	1.75	1	1	0	0	0	0.66787989081	0.642402183803	0.0	0.0	0.0	-5.85698519975	-6.29843201494	0.0	0.0	0.0
RPS4B	2.89320675306	0.402	1.15	0	2	0	0	0	0.0	0.393222506394	0.0	0.0	0.0	0.0	-5.49657238236	0.0	0.0	0.0
RPS6A	2.8597385662	0.394	0.94	1	1	0	0	0	0.370165745856	0.406077348066	0.0	0.0	0.0	-6.58838029404	-5.68824613894	0.0	0.0	0.0
RPS6B	2.85308952985	0.367	1.12	0	1	0	0	0	0.0	0.549789621318	0.0	0.0	0.0	0.0	-5.19997064076	0.0	0.0	0.0
RPS7A	3.07298474463	0.39	1.28	0	1	0	0	0	0.0	0.600169061708	0.0	0.0	0.0	0.0	-6.02319166266	0.0	0.0	0.0
RPS7B	2.75358305889	0.372	1.06	1	0	0	0	0	0.465608465608	0.0	0.0	0.0	0.0	-5.90308998699	0.0	0.0	0.0	0.0
RPS9A	2.93651374248	0.398	3.18	0	1	0	0	0	0.0	0.721064814815	0.0	0.0	0.0	0.0	-6.29843201494	0.0	0.0	0.0
